name,brewery,percentage,volume
Björkad Äppelmust,Pomologik,0.5,250
Northern Monk Holy Faith,Northern Monk Brew Co,0.5,330
Beskows Brut Natur,Beskows Drycker AB,0,250
Mariestads,Spendrups,5.8,500
Train Station Brewery,Train Station Brewery,0.3,330
Oppigårds,Oppigårds Bryggeri,5.3,500
Mariestads Påskbrygd,Spendrups,0.5,330
Dufvenkrooks Saffran,Spirit of Sweden,0.5,375
Lyre's Amaretti,Zero Proof EU B.V,0.5,700
Jämtlands,Jämtlands Bryggeri,4.5,330
Nääs,Nääs Gårdsbryggeri,5.3,330
Blossa Sparkling & Spices,Schloss Wachenheim,0.5,750
SoS Polka,Spirit of Sweden,4.5,330
Wisby,Gotlands Bryggeri,6,330
Chocolate Milk Dark Brew,Untitled Art Brewing,0.5,355
Pumpviken,Nynäshamns Ångbryggeri,5.8,500
Nils Oscar,Nils Oscar,0.4,440
Blossa Vinteräpple,Altia,0.5,750
Maglehem n:o 4,Maglehems musteri,0,630
Polka juldryck,Spirit of Sweden,0,330
Saturnus 1893,Saturnus,0.5,750
Dufvenkrooks,Spirit of Sweden,15,375
Mikkeller,Mikkeller,0.3,330
Blossa,Altia,10,750
Roslags Äppelglögg,Norrtelje Brenneri,0.5,500
Blossa,Altia PLC,0.5,750
Skåne,Galatea AB,0.5,350
Jämtlands,Jämtlands Bryggeri,6,330
Nils Oscar,Nils Oscar,0.4,330
Dufvenkrooks,Spirit of Sweden,0.2,330
Tegnér & Son,Tegnér Spirits & Wine AB,12,375
Blossa Trestjärnig Guld,Altia,21,500
O.P. Anderson,Altia Sweden AB,0.5,300
Hellström Glögg,Hellström Gin,15,500
Hannas Skumtomte,Three Towns Independent Brewers,4.5,330
Dufvenkrooks Original,Spirit of Sweden,15,750
Tegnér & Son,Tegnér Spirits & Wine AB,12,750
Åre,Domaine Wines Sweden AB,10,750
Tegnér & Son,Tegnér Spirits & Wine AB,14.5,750
Alpenglitzern,Andreas Oster Weinkellerei,8.5,750
Blossa,Joseph Drathen,10,750
Hannas,Three Towns Independent Brewers,4.5,330
Bergskär,IDUNN Norsjö Wine & Co,11.5,375
Saffran Cider EKO,Sailor Spirits,4.5,275
Nygårda Julmust,Spendrups,0.3,750
Hardy XO Cognac,Hardy Cognac,40,500
Grönsöömust,Grönsöö Säteri AB,0,750
Oceanbryggeriet,Oceanbryggeriet,4.6,500
Lervig No Worries,Lervig Aktiebryggeri,0.5,330
Glöet,Cusomdrinks S.L.U. R.E,11,750
Tosterup Verjus,Tosterups Gård,0,375
Blossa Trestjärnig Silver,Altia,21,500
Mariestads Julebrygd,Spendrups,5.8,500
Tegnér & Son,Tegnér Spirits & Wine AB,12,750
Prima Julsnaps,Altia PLC,38,500
Blossa,Altia PLC,10,750
Browar Nepomucen,Browar Nepomucen Sp. z o.o.,0.5,500
Gotlands Bryggeri,Gotlands Bryggeri,0.5,330
Vinfabriken,Bouquet Saft & Vinjäst,11,375
Lusse Lelle,Brekeriet Beer,6.5,330
Sav™Glöd,Savhuset Åre,0.5,500
Grönstedts,Domaine Wines Sweden AB,15,750
Mariestads Julebrygd,Spendrups,5.8,500
Gnista,Gnista Spirits,0.5,500
Dufvenkrooks,Spirit of Sweden,15,375
Oddbird,Oddbird AB,0,750
Julmust Sour,Omnipollo AB,0.3,330
Blossa,Altia,10,2000
Mariestads Julöl Alkoholfri,Spendrups,0.5,330
Pripps Blå Julöl,Carlsberg Sverige AB,5,500
O.P. Anderson Julaquavit,Altia Sweden AB,40,500
Eriksberg Julöl,Carlsberg Sverige AB,5.6,500
Jus de Pommes à Sydre,Eric Bordelet,0,750
Sofiero Julöl,Kopparbergs Bryggeri,5.2,500
Melleruds,Spendrups,5,330
Falcon Julbrygd,Carlsberg Sverige AB,5.2,330
Blossa,Altia,10,375
Sigtuna,Sigtuna Brygghus,6,330
Falcon Julbrygd,Carlsberg Sverige AB,5.2,500
Göteborgs Christmas,Göteborgs Nya Bryggeri,3.7,330
Hopple X-mas,Pomologik,0,250
Three Hearts Julöl,Krönleins,5.3,500
Funky Fluid,Browar Funky Fluid,0.5,500
Falcons Julmumma,Carlsberg Sverige AB,5.2,500
Oppigårds Winter Ale,Oppigårds Bryggeri,5.3,500
Blossa Starkvinsglögg,Altia,15,750
Nils Oscar Alkoholfri Julöl,Nils Oscar,0.4,330
Melleruds,Spendrups Bryggeri,5,440
Herrgårds Julsnaps,Altia Sweden AB,38,350
Gotlands Bryggeri,Gotlands Bryggeri,6,330
Lyre's Amalfi Spritz,Union Distillers,0.5,250
ISH Lime Daiquiri,ISH Spirits,0.2,250
Stigbergets,Stigbergets Bryggeri,5,440
Åre Glögg,Domaine Wines Sweden AB,12.5,750
Tegner & Son Ekologisk Vinglögg,Galatea AB,12,1000
O/O Dark Nights,O/O Brewing,4.5,330
Jämtlands Julöl,Jämtlands Bryggeri,6.5,330
Nils Oscar,Nils Oscar,5.2,330
Fjäderholmarnas Bryggeri STHLM,Fjäderholmarnas Bryggeri,5.6,330
Leitz,Josef Leitz,0,250
San Miguel,Mahou San Miguel Brewery,0,330
Lervig No Worries,Lervig Aktiebryggeri,0.5,330
Jenny Nyström Julbrygd,Ängöl,4.5,330
Train Station Brewery Glutenfri,Train Station Brewery,6.5,330
Hjerta Winter Spritz,Sundance Wines,4.5,250
Boundary Snow on the Winter,Boundary Brewing,7,440
Grebbestad Julöl,Grebbestads Bryggeri,5.2,330
Train Station Brewery,Train Station Brewery,4,500
Aalborg,Arcus Sweden,47,700
Train Station Brewery,Train Station Brewery,0.3,330
Fuller's,Fuller Smith & Turner,5.3,500
Samuel Adams,Boston Beer Company,5.6,355
Mysingen Midvinterbrygd,Nynäshamns Ångbryggeri,6,500
Mariestads Winter,Spendrups Bryggeri,8,330
Jacobsen,Carlsberg Danmark,7.5,750
Abbaye D'aulne,Brasserie de l'Abbaye d'Aulne,9,330
Grythyttan,Grythyttans Glöggfabrik AB,14.5,750
Haga Vinteraquavit,Multibev AB,45,700
Alpenglitzern,Andreas Oster Weinkellerei,8.5,375
HO!HO!HO! Amber Christmas Ale,Evan-Evans Brewery,4.5,500
Ocean,Oceanbryggeriet,5.8,500
Aass,Aass Bryggeri,9,330
Shepherd Neame,Shepherd Neame,7,500
Saffran Cider,Sailor Spirits,4.5,330
God Jul Glögg Röd,Saturnus,0.4,750
Alkoholfri snaps,Swedish Tonic,0.5,500
Delirium Noël,Brouwerij Huyghe,10,750
Le Bistrotteur Beaujolais Nouveau,Compagnie Vinicole de Bourgogne,12.5,750
Gouden Carolus,Brouwerij Het Anker,10,330
Sleepy Bulldog,Gotlands Bryggeri,6.2,330
Bernard,Pivovar Bernard,8.2,330
Mikkeller,Mikkeller,0.3,330
GodDryck,GodDryck i Sverige AB,0,375
N'Ice Chouffe,Duvel Moortgat,10,750
Hannas Julcidre d´Pepparkaka,Three Towns Ind Brewers,4.5,330
St Peter's Winter Ale,St Peter's Brewery,6.5,500
Cognac Sarraud XO - Noël,Enjoy Wine & Spirits,40,500
Vinfabrikens Glögg,Umida Partners AB,20,500
Dufvenkrooks,Spirit of Sweden,0.5,330
Beskows Symfoni,Beskows Drycker AB,0,750
Paulaner Oktoberfest,Paulaner Brauerei,6,500
Barents Aquavit,Det Norske Brenneri,40,700
Bröndums Julakvavit,Vinuversum AB,45,700
Primator,Primátor,5.5,500
Weihenstephaner,Weihenstephan,5.8,500
Ayinger,Aying F Inselkammer,5.8,500
Ballast Point,Ballast Point Brewing,6,355
Arrogant Bastard,Stone Brewing Escondido,7.2,473
Finn Spring Weisse,Brygghuset Finn,4.8,500
Elima Hua,Destihl Brewery,6,355
Stigbergets,Stigbergets Bryggeri,6.8,440
Halmstad Crush,Krönleins,4.5,330
Hyllipan IPA,Hyllie Bryggeri,6.5,330
Westmalle,Abbey of Westmalle,9.5,330
La Trappe,Bierbrouwerij De Konigshoeven,7.5,330
Guayabera,Cigar City Brewing,5.5,355
Uber Hazy,Pioneer Brewing,8.5,473
Sigtuna,Sigtuna Brygghus,6.6,330
Sierra Nevada,Sierra Nevada Brewing,7.4,355
La Trappe Blond,De Koningshoeven,6.5,330
Brew York,Brew York,12,440
Hyllie Bryggeri,Hyllie Bryggeri,5,440
Buxton,Buxton Brewery,6.8,440
This Must Be The Place,Rooster's Brewing Co,6,440
Nikka,The Nikka Whisky Distilling Co,45,700
Herrnbräu,Herrnbräu GmbH,5.4,500
Agitator,Agitator Whiskymakare,46,700
Mikkeller,Mikkeller,4.9,330
Northstar,Connecticut Valley Brewing Company,5,355
To Øl,To Øl City,8.5,440
Domaine de Mourchon,Mourchon,14,750
St Idesbald Mixpack,Brouwerij Huyghe,7.6,1320
Castelmondo,CANTINA SOCIALE MONTELLIANA E DEI COLLI ASOLANI S.c.a.,11,750
Tipopils,Birrificio Italiano,5.2,750
Pfungstädter,Pfungstädter Brauerei,6.9,500
Market Porter,Thornbridge Brewery,4.5,330
Åben Shg,Åben Shg,6,440
Santorini Assyrtiko,Santo Wines,13.5,750
Van Volxem,Van Volxem,12,750
Protos,Bodegas Protos,14.5,750
Cuvee Sextant,Celliers d'Orfee,14.5,750
La Mateo,Bodegas D. Mateos,13,750
Family Becker,Weingut Friedrich W. Becker,13.5,750
Absolut,The Absolut Company,38,700
Moscato d'Asti,G.D. Vajra,5.5,750
Mehringer Alte Reben,Weingut Nik Weis,12,750
Innocent Bystander,Innocent Bystander,12.5,750
Clown Shoes Galactica IPA,Clown Shoes Beer,7.5,473
Nääs,Nääs Gårdsbryggeri,6.9,330
Vino Nobile di Montepulciano Maria Stella,Poliziano,14.5,750
Omaka,Omaka,6.8,330
Brouwerij De Ranke,Brouwerij De Ranke,8,330
Azuca Hard,Sundance Wines,4.5,250
Capo di Terra,Conti Sertoli Salis,12.5,750
Brygghus 19,Brygghus 19,4.5,330
Remmarlöv,Remmarlöv Gårdsbryggeri,4.9,500
